FNF,Percent_Area_Land_0,Percent_Area_Land_1,Percent_Area_Land_4,Percent_Area_Land_5,Percent_Area_Land_6,Percent_Area_Land_7,Percent_Area_Land_8,Percent_Area_Land_9,Percent_Area_Land_10,Percent_Area_Land_11,Percent_Area_Land_14
1,0.142101784534038,0.101784534038334,0.0,0.00132187706543291,0.487111698612029,0.115003304692664,0.0660938532716457,0.015862524785195,0.0442828816920026,0.0264375413086583,0.0
2,0.125,0.122916666666667,0.0,0.00416666666666667,0.425,0.272916666666667,0.0291666666666667,0.0,0.0,0.01875,0.00208333333333333
3,0.149326805385557,0.343941248470012,0.00122399020807834,0.00367197062423501,0.390452876376989,0.0648714810281518,0.00734394124847001,0.0,0.0318237454100367,0.00734394124847001,0.0
4,0.17175572519084,0.50381679389313,0.00381679389312977,0.00381679389312977,0.263358778625954,0.0534351145038168,0.0,0.0,0.0,0.0,0.0
5,0.150862068965517,0.290948275862069,0.0,0.0,0.448275862068966,0.101293103448276,0.00646551724137931,0.0,0.0,0.0,0.0021551724137931
6,0.131428571428571,0.268571428571429,0.0,0.0,0.52,0.0685714285714286,0.0,0.0,0.0114285714285714,0.0,0.0
7,0.08,0.04,0.0,0.0,0.506666666666667,0.266666666666667,0.04,0.0,0.0133333333333333,0.0533333333333333,0.0
8,0.11336032388664,0.226720647773279,0.0,0.0,0.481781376518219,0.1417004048583,0.00404858299595142,0.00809716599190283,0.0161943319838057,0.00809716599190283,0.0
9,0.12316715542522,0.173020527859238,0.0,0.0,0.319648093841642,0.237536656891496,0.0117302052785924,0.0205278592375367,0.114369501466276,0.0,0.0
10,0.233606557377049,0.192622950819672,0.0,0.0,0.422131147540984,0.0901639344262295,0.0122950819672131,0.0,0.040983606557377,0.00819672131147541,0.0
11,0.172872340425532,0.188829787234043,0.0,0.0,0.36968085106383,0.146276595744681,0.00531914893617021,0.0372340425531915,0.0718085106382979,0.00797872340425532,0.0
12,0.156626506024096,0.189759036144578,0.0,0.0,0.313253012048193,0.180722891566265,0.00602409638554217,0.0602409638554217,0.0933734939759036,0.0,0.0
13,0.164473684210526,0.276315789473684,0.0,0.0,0.243421052631579,0.223684210526316,0.0328947368421053,0.0,0.0526315789473684,0.00657894736842105,0.0
14,0.147826086956522,0.391304347826087,0.0,0.0,0.0869565217391304,0.139130434782609,0.0695652173913043,0.0,0.0173913043478261,0.147826086956522,0.0
15,0.140909090909091,0.0681818181818182,0.0,0.0,0.411363636363636,0.175,0.102272727272727,0.0318181818181818,0.0659090909090909,0.00454545454545455,0.0
