FNF,Percent_Area_Soil_1,Percent_Area_Soil_2,Percent_Area_Soil_3,Percent_Area_Soil_4,Percent_Area_Soil_6,Percent_Area_Soil_7,Percent_Area_Soil_8,Percent_Area_Soil_9,Percent_Area_Soil_11,Percent_Area_Soil_12,Percent_Area_Soil_14,Percent_Area_Soil_16
1,0.0,0.0350297422339722,0.25380039656312,0.00198281559814937,0.177131526768011,0.0429610046265697,0.0284203569068077,0.134170522141441,0.00198281559814937,0.108393919365499,0.0264375413086583,0.189689358889623
2,0.0,0.0,0.175,0.0,0.2625,0.0208333333333333,0.0583333333333333,0.31875,0.0,0.0625,0.0104166666666667,0.0916666666666667
3,0.0624235006119951,0.00611995104039168,0.419828641370869,0.0,0.277845777233782,0.00122399020807834,0.0,0.0660954712362301,0.0,0.00489596083231334,0.0489596083231334,0.112607099143207
4,0.0,0.0,0.393129770992366,0.0229007633587786,0.156488549618321,0.0725190839694656,0.0,0.0916030534351145,0.0,0.0534351145038168,0.0610687022900763,0.148854961832061
5,0.0,0.0,0.372844827586207,0.0603448275862069,0.181034482758621,0.0452586206896552,0.0,0.0991379310344828,0.0,0.0,0.0452586206896552,0.196120689655172
6,0.0,0.0,0.531428571428571,0.0,0.171428571428571,0.0685714285714286,0.0,0.0685714285714286,0.0,0.0,0.04,0.12
7,0.0,0.0,0.08,0.173333333333333,0.293333333333333,0.0533333333333333,0.0,0.213333333333333,0.0,0.0,0.04,0.146666666666667
8,0.0,0.0,0.469635627530364,0.0323886639676113,0.133603238866397,0.145748987854251,0.0,0.0202429149797571,0.0,0.0,0.048582995951417,0.149797570850202
9,0.0,0.0645161290322581,0.272727272727273,0.0674486803519062,0.146627565982405,0.120234604105572,0.0,0.0,0.0,0.0,0.032258064516129,0.296187683284457
10,0.0,0.0163934426229508,0.282786885245902,0.0737704918032787,0.254098360655738,0.188524590163934,0.0,0.0,0.0,0.0,0.0163934426229508,0.168032786885246
11,0.0,0.0558510638297872,0.438829787234043,0.00531914893617021,0.0452127659574468,0.0851063829787234,0.0,0.0,0.0,0.0,0.0452127659574468,0.324468085106383
12,0.0,0.0783132530120482,0.376506024096386,0.0,0.0963855421686747,0.108433734939759,0.0,0.0,0.0,0.0,0.0210843373493976,0.319277108433735
13,0.0,0.0197368421052632,0.552631578947368,0.0,0.0592105263157895,0.210526315789474,0.0,0.0131578947368421,0.0,0.0,0.0131578947368421,0.131578947368421
14,0.0,0.0,0.565217391304348,0.0,0.104347826086957,0.208695652173913,0.0,0.0347826086956522,0.0,0.0260869565217391,0.0260869565217391,0.0347826086956522
15,0.131818181818182,0.0886363636363636,0.393181818181818,0.0,0.0181818181818182,0.0340909090909091,0.0,0.0,0.0,0.0,0.00909090909090909,0.325
